Pick,Player,Recruited from,Club
1,Brian McInnes,Cairns,Fitzroy
2,Craig Nettelbeck,Fremantle,Melbourne
3,Darren Gaspar,Sydney Swans,Richmond
4,Brent Frewen,South Mildura,Fitzroy
5,Gordon Fode,St Kilda,Hawthorn
6,Andrew McLean,North Launceston,St Kilda
7,Kent Butcher,Collingwood,Sydney Swans
8,Shane Ellen,Footscray,Adelaide
9,Mark Pitura,Richmond,Collingwood
10,Andrew Leoncelli,Old Xaverians,Melbourne
11,Tristan Lynch,Richmond,Brisbane Bears
12,Jason Lappin,Wodonga Raiders,Footscray
13,Andrew Donnelly,Subiaco,West Coast Eagles
14,Richard Peck,Claremont,Essendon
15,Peter Bell,Fremantle,North Melbourne
16,Craig Treleven,East Fremantle,Hawthorn
17,Jason Traianidis,Shepparton United,St Kilda
18,Simon Goodwin,South Adelaide,Adelaide
19,Matthew Waters,North Brisbane,Brisbane Bears
20,Matthew Young,Hawthorn,St Kilda
