Title,Director,Year,First showing
Abraxas ( Japanese : Aburakurasu no matsuri ),Naoki Katô,2010,January 21
All Your Dead Ones ( Spanish : Todos tus muertos ),Carlos Moreno,2010,January 25
The Cinema Hold Up ( Spanish : Asalto al cine ),Iria Gómez Concheiro,2011,January 2
A Few Days of Respite ( French : Quelques jours de répit ),Amor Hakkar,2010,January 25
The Guard,John Michael McDonagh,2010,January 20
"Happy , Happy ( Norwegian : Sykt lykkelig )",Anne Sewitsky,2010,January 2
Kinyarwanda,Alrick Brown,2011,January 24
Lost Kisses ( Italian : I baci mai dati ),Roberta Torre,2010,January 21
Mad Bastards,Brendan Fletcher,2010,January 24
Restoration ( Hebrew : Boker tov adon fidelman ),Yossi ( Joseph ) Madmoni,2010,January 21
The Salesman ( French : Le vendeur ),Sebastien Pilote,2011,January 21
Ticket to Paradise ( Spanish : Boleto al paraiso ),Gerardo Chijona Valdes,2010,January 22
Tyrannosaur,Paddy Considine,2010,January 21
Vampire,Iwai Shunji,2010,January 22
