Name,Suburb,District,Opened,Website
Ainslie School,Braddon,North Canberra,1927,Website
Amaroo School,Amaroo,Gungahlin,2004,Website
Aranda Primary School,Aranda,Belconnen,1969,Website
Arawang Primary School,Waramanga,Weston Creek,1989,Website
Bonython Primary School,Bonython,Tuggeranong,1992,Website
Calwell Primary School,Calwell,Tuggeranong,1989,Website
Campbell Primary School,Campbell,North Canberra,1961,Website
Caroline Chisholm School,Chisholm,Tuggeranong,1985,Website
Chapman Primary School,Chapman,Weston Creek,1975,Website
Charles Conder Primary School,Conder,Tuggeranong,1994,Website
Charles Weston School,Coombs,Molonglo Valley,2016,Website
Charnwood-Dunlop School,Charnwood,Belconnen,1975,Website
Curtin Primary School,Curtin,Woden Valley,1983,Website
Duffy Primary School,Duffy,Weston Creek,1973,Website
Evatt Primary School,Evatt,Belconnen,1974,Website
Fadden Primary School,Fadden,Tuggeranong,1985,Website
Farrer Primary School,Farrer,Woden Valley,1970,Website
Florey Primary School,Florey,Belconnen,1989,Website
Forrest Primary School,Forrest,South Canberra,1958,Website
Fraser Primary School,Fraser,Belconnen,1979,Website
