Year,Time,Athlete,Place
2001,4:23.19 i,Gabriela Szabo ( ROU ),Stuttgart
2002,4:23.00 i,Carla Sacramento ( POR ),Liévin
2003,4:24.40,Natalya Yevdokimova ( RUS ),Heusden-Zolder
2004,4:21.57,Yelena Zadarozhnaya ( RUS ),Tula
2005,4:28.29,Yelena Kanales ( RUS ),Tula
2006,4:27.96,Carrie Tollefson ( USA ),Falmouth
2007,4:17.75,Maryam Yusuf Jamal ( BAH ),Brussels
2008,4:18.23,Gelete Burka ( ETH ),Rieti
2009,4:25.91 i,Jenny Simpson ( USA ),College Station
2010,4:23.53 i,Gelete Burka ( ETH ),Birmingham
2011,4:28.60 i,Jenny Simpson ( USA ),New York City
2012,4:26.76,Brenda Martinez ( USA ),Falmouth
2013,4:27.02 i,Sheila Reid ( CAN ),New York City
2014,4:24.11 i,Mary Cain ( USA ),Boston
2015,4:16.71,Faith Kipyegon ( KEN ),Brussels
2016,4:13.31 i,Genzebe Dibaba ( ETH ),Stockholm
2017,4:16.05,Genzebe Dibaba ( ETH ),Lausanne
2018,4:14.71,Sifan Hassan ( NED ),London
2019,4:12.33,Sifan Hassan ( NED ),Monaco
