,Name on the Register,Date listed,Location,City or town
1,Armstrong Farm,"January 17 , 1986 ( # 86000070 )",13706 State Route 199 40°47′48″N 83°15′53″W / 40.796667°N 83.264722°W / 40.796667 ; -83.264722 ( Armstrong Farm ),Crane Township
2,Col. Crawford Burn Site Monument,"April 15 , 1982 ( # 82003667 )",Northeast of Crawford 40°55′23″N 83°20′04″W / 40.923056°N 83.334444°W / 40.923056 ; -83.334444 ( Col. Crawford Burn Site Monument ),Crawford Township
3,Indian Mill,"November 10 , 1970 ( # 70000525 )",3.5 miles northeast of Upper Sandusky on a Crane Township road 40°51′47″N 83°15′15″W / 40.863056°N 83.254167°W / 40.863056 ; -83.254167 ( Indian Mill ),Crane Township
4,Parker Covered Bridge,"March 31 , 1975 ( # 75001558 )",5 miles northeast of Upper Sandusky on Township Road 40A 40°54′11″N 83°14′41″W / 40.903056°N 83.244722°W / 40.903056 ; -83.244722 ( Parker Covered Bridge ),Crane Township
5,South Sandusky Avenue Historic District,"October 22 , 1980 ( # 80003248 )",S. Sandusky Ave. 40°49′18″N 83°16′53″W / 40.821667°N 83.281389°W / 40.821667 ; -83.281389 ( South Sandusky Avenue Historic District ),Upper Sandusky
6,Swartz Covered Bridge,"October 8 , 1976 ( # 76001553 )",Northwest of Wyandot on County Road 130 40°46′14″N 83°10′09″W / 40.770556°N 83.169167°W / 40.770556 ; -83.169167 ( Swartz Covered Bridge ),Antrim Township
7,William Walker Jr. House,"March 11 , 1980 ( # 80003249 )",132-134 N. 4th St. 40°49′44″N 83°16′42″W / 40.828889°N 83.278333°W / 40.828889 ; -83.278333 ( William Walker Jr. House ),Upper Sandusky
8,West End Elementary School,"November 5 , 1987 ( # 87001989 )",200 West St. 40°57′06″N 83°23′13″W / 40.951667°N 83.386944°W / 40.951667 ; -83.386944 ( West End Elementary School ),Carey
9,Wyandot County Courthouse and Jail,"July 2 , 1973 ( # 73001553 )",Courthouse Sq . 40°49′37″N 83°16′50″W / 40.826944°N 83.280556°W / 40.826944 ; -83.280556 ( Wyandot County Courthouse and Jail ),Upper Sandusky
10,Wyandot Mission Church,"January 20 , 1976 ( # 76001552 )",Northern side of Upper Sandusky off Church St. 40°50′10″N 83°16′41″W / 40.836111°N 83.278194°W / 40.836111 ; -83.278194 ( Wyandot Mission Church ),Upper Sandusky
