Airfield,Location,Period of operation
Armstrong Army Airfield,Germany,1958-2005
Bad Kreuznach Army Airfield,Germany,1945-2001
Bad Hersfeld Airfield,Germany,1952-1992
Bad Toelz Army Airfield,Germany,1945-1991
Bamberg US Airfield,Germany,1912-2012
Bitburg Air Base,Germany,1952-1994
Beek Airport,Netherlands,
Giebelstadt Army Airfield,Germany,1935-2006
Griesheim Airport,Germany,1908-1992
Hahn Air Base,Germany,1952-1994
Hanau Army Airfield,Germany,1947-2006
Haunstetten Airfield,Germany,1916-1964
Heidelberg Airfield,Germany,1945-2014
Hoppstädten Army Airfield,Germany,1956-1973
Karlsruhe Airfield,Germany,19 ? ? -1995
Ludwigsburg Army Airfield,Germany,1942-1992
Maurice Rose Army Airfield,Germany,1951-2002
Mutlangen Army Airfield,Germany,1945-1991
Schleissheim Army Airfield,Germany,1948-1973
Sembach Air Base,Germany,1950-1995
