Year,Title,Role,Director,Theatre
1991,When She Danced,Alexandros Eliopolos,Robert Allan Ackerman,"Globe Theatre , London"
1991,Neon Gravy,,James Macdonald,"Royal National Theatre , London"
1992,Romeo and Juliet,Romeo,Greg Hersov,"Royal Exchange , Manchester and Tour"
1992,A View from the Bridge,Longshoreman,Greg Hersov,"Royal Exchange , Manchester and Tour"
1993,The Blind Men,Lamprido,Declan Donnellan,"Donmar Warehouse , London and Tour"
1993,Do n't Fool With Love,Perdican,Declan Donnellan,"Donmar Warehouse , London and Tour"
1993,Moonlight,Fred,David Leveaux,"Almeida Theatre , London"
1993,Ion,Ion,Nicholas Wright,"Royal National Theatre , London"
1993,"Forever Yours , Marie-Lou",,,"Tour in Swansea , Cardiff & London"
1994,Peer Gynt,Peer Gynt,Yukio Ninagawa,"Barbican Theatre , London and Tour in Oslo and Tokyo"
1994,Le Livre de Spencer,Spencer Gaveston,Lluís Pasqual,"Odéon-Théâtre de l'Europe , Paris"
1994,Charleys Aunt,Lord Fancourt Babberley,Emil Wolk,"Royal Exchange , Manchester"
1995,Look Back in Anger,Jimmy Porter,Greg Hersov,"Royal Exchange , Manchester"
1995,The Seagull,Konstantin,Robert Sturua,"Theatre Royal , Bath and Tour"
1995,The Dresser,Norman,directed by Sheen,"Drum Theatre , Plymouth"
1996,The Ends of the Earth,Daniel,Andrei Şerban,"Royal National Theatre , London"
1997,The Homecoming,Lenny,Roger Michell,"Royal National Theatre , London"
1997,Badfinger,,directed by Sheen,"Donmar Warehouse , London"
1997,Gas Station Angel,,,"Duke of York 's Theatre , London"
1997,Henry V,Henry V,Ron Daniels,"Royal Shakespeare Theatre , Stratford Upon Avon"
