Rank,Athlete,Nationality,Time
1,Tegla Loroupe,Kenya,1:08:29
2,Elana Meyer,South Africa,1:08:32
3,Lidia Simon,Romania,1:08:58
4,Olivera Jevtić,FR Yugoslavia,1:10:02
5,Annemari Sandell,Finland,1:10:04
6,Joyce Chepchumba,Kenya,1:10:10
7,Julia Vaquero,Spain,1:10:33
8,Cristina Pomacu,Romania,1:10:39
9,Yukiko Okamoto,Japan,1:10:50
10,Leah Malot,Kenya,1:11:04
11,Albertina Dias,Portugal,1:11:08
12,Alina Ivanova,Russia,1:11:18
13,Svetlana Zakharova,Russia,1:11:26
14,María Luisa Lárraga,Spain,1:11:30
15,Maria Guida,Italy,1:11:31
16,Irma Heeren,Netherlands,1:11:35
17,Rakiya Maraoui,France,1:11:44
18,Franziska Rochat,Switzerland,1:11:47
19,Asha Gigi,Ethiopia,1:11:49
20,Firiya Sultanova-Zhdanova,Russia,1:11:53
