Rank,Athlete,Nationality,Time
1,Lornah Kiplagat,Netherlands,1:08:37
2,Aselefech Mergia,Ethiopia,1:09:57
3,Pamela Chepchumba,Kenya,1:10:01
4,Genet Getaneh,Ethiopia,1:10:03
5,Peninah Arusei,Kenya,1:10:12
6,Abebu Gelan,Ethiopia,1:10:59
7,Julia Mombi Muraga,Kenya,1:11:11
8,Atsede Habtamu,Ethiopia,1:11:13
9,Luminița Talpoș,Romania,1:11:16
10,Yukiko Akaba,Japan,1:11:39
11,Meseret Mengistu,Ethiopia,1:12:03
12,Furtuna Zegergish,Eritrea,1:12:16
13,Dulce Félix,Portugal,1:12:56
14,Pauline Ngigi,Kenya,1:12:58
15,Yesenia Centeno,Spain,1:13:01
16,Azucena Díaz,Spain,1:13:30
17,Maria Baldaia,Brazil,1:13:42
18,Olesya Syreva,Russia,1:14:08
19,Miki Ohira,Japan,1:14:27
20,Lyudmila Biktasheva,Russia,1:14:33
