Season,Eliminated Round,Teams Defeated,Lost to
1991,2nd round,Tennessee Tech ( 94-64 ),Tennessee ( 47-55 )
1992,Final Four,Kansas ( 75-59 ) Iowa ( 61-60 ) UCLA ( 83-57 ) Mississippi ( 94-71 ),Western Kentucky ( 72-84 )
1993,Sweet 16,Oklahoma State ( 86-71 ) Maryland ( 86-82 ),Louisiana Tech ( 43-59 )
1994,2nd round,Northern Illinois ( 75-56 ),Virginia ( 63-67 )
1995,2nd round,Utah ( 49-47 ),Colorado ( 34-78 )
1996,1st round,,Texas ( 55-73 )
1998,1st round,,Notre Dame ( 64-78 )
1999,2nd round,Cal.-Santa Barbara ( 72-70 ),Colorado State ( 70-86 )
2000,1st round,,Auburn ( 74-78 )
2001,Final Four,Toledo ( 89-71 ) Rutgers ( 60-53 ) Duke ( 81-71 ) Washington ( 104-87 ),Purdue ( 64-81 )
2003,1st round,,Texas Tech ( 59-67 )
2004,1st round,,Notre Dame ( 65-69 )
2006,1st round,,Purdue ( 52-73 )
2016,1st round,,Texas A & M ( 65-74 )
2019,1st round,DePaul ( 89-77 ) Iowa State ( 69-60 ),Stanford ( 46-55 )
