Elector,Place of birth,Cardinalatial title,Elevated,Elevator
Ubaldo Allucingoli,Lucca,Bishop of Ostia,"December 16 , 1138",Innocent II
Teodino de Arrone,Arrone,Bishop of Porto e Santa Rufina,"December 18 , 1165",Alexander III
Paolo Scolari,Rome,Bishop of Palestrina,"September 21 , 1179",Alexander III
"Alberto di Morra , Can.Reg",Benevento,Priest of S. Lorenzo in Lucina and Chancellor of the Holy Roman Church,"December 21 , 1156",Adrian IV
Giovanni Conti da Anagni,Anagni,Priest of S. Marco,1158/1159,Adrian IV
Cinzio Capellus,Rome ( ? ),Priest of S. Cecilia,"March 14 , 1158",Adrian IV
"Pietro de Bono , Can.Reg",Rome,Priest of S. Susanna,"March 18 , 1166",Alexander III
Uguccione Pierleoni,Rome,Priest of S. Clemente,"March 2 , 1173",Alexander III
Laborante de Panormo,Pontormo near Florence,Priest of S. Maria in Trastevere,"September 21 , 1173",Alexander III
Viviano,Orvieto ( ? ),Priest of S. Stefano in Monte Celio,"March 7 , 1175",Alexander III
"Ardoino da Piacenza , Can.Reg",Piacenza,Priest of S. Croce in Gerusalemme,"June 2 , 1178",Alexander III
Matthieu dAnjou,Angers,Priest of S. Marcello,"December 22 , 1178",Alexander III
Giacinto Bobone,Rome,Deacon of S. Maria in Cosmedin,"December 22 , 1144",Lucius II
Ardicio de Rivoltela,Rivoltella near Cremona,Deacon of S. Teodoro,"December 21 , 1156",Adrian IV
Rainiero da Pavia,Pavia,Deacon of S. Giorgio in Velabro,"June 6 , 1175",Alexander III
"Matteo , Can.Reg",Unknown ( possibly Rome ),Deacon of S. Maria Nuova,"March 4 , 1178",Alexander III
Graziano da Pisa,Pisa,Deacon of SS . Sergio e Bacco,"March 4 , 1178",Alexander III
Rainier,Unknown,Deacon of S. Adriano,"September 22 , 1178",Alexander III
Giovanni,Unknown,Deacon of S. Angelo in Pescheria,"September 22 , 1178",Alexander III
