Rank,Film,Year,Director,Studio ( s ),Gross
1,Chaal Jeevi Laiye ! *,2019,Vipul Mehta,Coconut Motion Pictures,₹ 52.14 crore ( US $ 7.3 million )
2,Desh Re Joya Dada Pardesh Joya,1998,Govindbhai Patel,GN films,₹ 22 crore ( US $ 3.1 million )
3,Shu Thayu ?,2018,Krishnadev Yagnik,Belvedere Films,₹ 21 crore ( US $ 2.9 million )
4,Chhello Divas,2015,Krishnadev Yagnik,Belvedere Films,₹ 18 crore ( US $ 2.5 million )
5,Sharato Lagu,2018,Neeraj Joshi,Superhit Entertainment,₹ 17.5 crore ( US $ 2.5 million )
6,Hellaro *,2019,Abhishek Shah,Harfanmaula Films,₹ 16 crore ( US $ 2.2 million )
7,Gujjubhai the Great,2015,Ishaan Randeria,Siddharth Randeria Productions,₹ 15 crore ( US $ 2.1 million )
8,GujjuBhai - Most Wanted,2018,Ishaan Randeria,Siddharth Randeria Productions,₹ 10 crore ( US $ 1.4 million )
9,Bey Yaar,2014,Abhishek Jain,CineMan Productions,₹ 8.5 crore ( US $ 1.2 million )
10,Karsandas Pay & Use,2017,Krishnadev Yagnik,Belvedere Films,₹ 8 crore ( US $ 1.1 million )
10,Love Ni Bhavai,2017,Saandeep Patel,Akshar Communications,₹ 8 crore ( US $ 1.1 million )
