Year,Album,Composer,Songs
2017,Kaadhali,Prasan Praveen Shyam,"Kaadhal Kaadhal , Valentine"
2015,Yagavarayinum Naa Kaakka,Prasan Praveen Shyam,"Paprapampam , Nee Sonna Vaarthai , Singari Sokku Lady"
2015,Yennai Arindhaal,Harris Jayaraj,"Maya Bazaar , Yennai Arindhaal"
2014,Gajakesari,V. Harikrishna,Sui Tapak
2014,Yaan,Harris Jayaraj,Hey Lamba Lamba
2013,Endrendrum Punnagai,Harris Jayaraj,Yealae Yealae Dosthu Da
2012,Thuppakki,Harris Jayaraj,Google Google
2011,Kullanari Koottam,V. Selvaganesh,Aadugira Maattai
2010,Thamizh Padam,Kannan ( tamil music director ),Pacha Manja
2009,Kanthaswamy,Devi Sri Prasad,En Peru Meenakumari
2009,Vettaikaaran,Vijay Antony,En Uchimandai
