Code,Name ( s ),Purpose,Status
E400,Alginic acid ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E401,Sodium alginate ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E402,Potassium alginate ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E403,Ammonium alginate ( thickener ) ( stabiliser ),emulsifier,Approved in the EU
E404,Calcium alginate ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E405,"Propane-1,2-diol alginate ( Propylene glycol alginate ) ( thickener ) ( stabiliser )",emulsifier,Approved in the EU
E406,Agar ( thickener ) ( gelling agent ),stabiliser,Approved in the EU
E407,Carrageenan ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E407a,Processed eucheuma seaweed ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E408,Bakers yeast glycan,,
E409,Arabinogalactan,,
E410,Locust bean gum ( Carob gum ) ( thickener ) ( stabiliser ) ( gelling agent ),emulsifier,Approved in the EU
E411,Oat gum ( thickener ),stabiliser,
E412,Guar gum ( thickener ),stabiliser,Approved in the EU
E413,Tragacanth ( thickener ) ( stabiliser ),emulsifier,Approved in the EU
E414,Acacia gum ( gum arabic ) ( thickener ) ( stabiliser ),emulsifier,Approved in the EU
E415,Xanthan gum ( thickener ),stabiliser,Approved in the EU
E416,Karaya gum ( thickener ) ( stabiliser ),emulsifier,Approved in the EU
E417,Tara gum ( thickener ),stabiliser,Approved in the EU
E418,Gellan gum ( thickener ) ( stabiliser ),emulsifier,Approved in the EU
