Location,State,ICAO,Base/Airport name
Anápolis,Goiás,,Anápolis Air Force Base
Belém,Pará,,Belém Air Force Base
Boa Vista,Roraima,,Boa Vista Air Force Base
Brasília,Federal District,,Brasília Air Force Base
Campo Grande,Mato Grosso do Sul,,Campo Grande Air Force Base
Canoas,Rio Grande do Sul,SBCO,Canoas Air Force Base
Florianópolis,Santa Catarina,SBFL,Florianópolis Air Force Base
Fortaleza,Ceará,,Fortaleza Air Force Base
Manaus,Amazonas,SBMN,Manaus Air Force Base
Natal,Rio Grande do Norte,SBNT,Natal Air Force Base
Porto Velho,Rondônia,SBPV,Porto Velho Air Force Base
Recife,Pernambuco,,Recife Air Force Base
Rio de Janeiro,Rio de Janeiro,SBGL,Galeão Air Force Base
Rio de Janeiro,Rio de Janeiro,SBSC,Santa Cruz Air Force Base
Rio de Janeiro,Rio de Janeiro,SBAF,Afonsos Air Force Base
Salvador da Bahia,Bahia,,Salvador Air Force Base
Santa Maria,Rio Grande do Sul,SBSM,Santa Maria Air Force Base
Santos,São Paulo,SBST,Santos Air Force Base
São Paulo,São Paulo,SBGR,São Paulo Air Force Base
Serra do Cachimbo,Pará,SBCC,Cachimbo Airport
