Stadium,Capacity,City,Home team
Rajko Mitić Stadium,"55,538",Belgrade,Red Star Belgrade
Partizan Stadium,"32,710",Belgrade,Partizan Belgrade
Omladinski Stadium,"19,100",Belgrade,OFK Beograd
Stadion Čair,"18,151",Niš,Radnički Niš
Smederevo City Stadium,"17,200",Smederevo,FK Smederevo
Čika Dača Stadium,"15,100",Kragujevac,Radnički Kragujevac
Jagodina City Stadium,"15,000",Jagodina,FK Jagodina
Užice City Stadium,"15,000",Užice,Sloboda Užice
Karađorđe Stadium,"14,458",Novi Sad,FK Vojvodina
Pirot Stadium,"13,816",Pirot,Radnički Pirot
Karađorđev Park Stadium,"13,500",Zrenjanin,Proleter Zrenjanin
Subotica City Stadium,"13,000",Subotica,Spartak Subotica
Novi Pazar City Stadium,"13,000",Novi Pazar,FK Novi Pazar
Železnik Stadium,"12,500",Železnik,FK Železnik
Mladost Stadium,"10,331",Kruševac,Napredak Kruševac
Zemun Stadium,"9,588",Zemun,FK Zemun
Čačak Stadium,"8,000",Čačak,FK Borac Čačak
Stadion FK Mačva,"8,000",Šabac,Mačva Šabac
City Stadium Kikinda,"7,500",Kikinda,OFK Kikinda
Detelinara Stadium,"6,000",Novi Sad,RFK Novi Sad
