Dates,Tournament,Location,Prize fund ( JPY ),Winner
Mar 6-8,Daikin Orchid Ladies,Okinawa,"80,000,000",Yuko Mitsuka
Mar 20-22,Yokohama Tire PRGR Ladies Cup,Kōchi,"80,000,000",Ayako Uehara
Apr 3-5,Yamaha Ladies Open,Shizuoka,"80,000,000",Ah-Reum Huang
Apr 10-12,Studio Alice Ladies Open,Hyogo,"60,000,000",Sakura Yokomine
Apr 17-19,Life Card Ladies,Kumamoto,"70,000,000",Ji-Hee Lee
Apr 24-26,Fujisankei Ladies Classic,Shizuoka,"80,000,000",Tamie Durdin
May 1-3,Crystal Geyser Ladies,Chiba,"70,000,000",Chie Arimura
May 7-10,World Ladies Championship Salonpas Cup,Ibaraki,"120,000,000",Shinobu Moromizato
May 15-17,Vernal Ladies,Fukuoka,"100,000,000",Yuko Saito
May 22-24,Chukyo TV Bridgestone Ladies Open,Aichi,"70,000,000",Eun-A Lim
May 29-31,Kosaido Ladies,Chiba,"60,000,000",Sakura Yokomine
Jun 5-7,Resort Trust Ladies,Shiga,"70,000,000",Mi-Jeong Jeon
Jun 11-14,Suntory Ladies Open,Hyogo,"100,000,000",Shinobu Moromizato
Jun 19-21,Nichirei PGM Ladies,Ibaraki,"80,000,000",Sakura Yokomine
Jun 26-28,Promise Ladies,Hyogo,"80,000,000",Shinobu Moromizato
Jul 10-12,Meiji Chocolate Cup,Hokkaido,"90,000,000",Mi-Jeong Jeon
Jul 17-19,Stanley Ladies,Shizuoka,"90,000,000",Chie Arimura
Aug 7-9,AXA Ladies,Hokkaido,"80,000,000",Momoko Ueda
Aug 14-16,NEC Karuizawa 72,Nagano,"60,000,000",Chie Arimura
Aug 21-23,CAT Ladies,Kanagawa,"70,000,000",Shinobu Moromizato
