Title,Platform ( s ),Genre ( s )
Agent,PS3,"Stealth , action"
Dead Island 2,"Win , PS4 , XBO",Action role-playing
Deep Down,PS4,Action role-playing
Earth No More,"Win , PS4 , XBO",First-person shooter
Elysian Shadows,"Win , Mac , Lin , DC , iOS , Droid , Ouya","Action-adventure , role-playing"
In the Valley of Gods,"Win , Mac , Lin",Adventure
Red Ash : The Indelible Legend,"Win , PS4 , XBO",Action-adventure
Tekken X Street Fighter,"PS4 , XBO","Fighting , beat 'em up"
Two Worlds III,Unknown,Action role-playing
Wild,PS4,"Survival , adventure"
