#,Name,Pos,College,GP,Seasons
72,Diron Talbert,DT,Texas,142,1971-80
54,Darryl Tapp,LB,Virginia Tech,11,2013
42,Charley Taylor,WR,Arizona State,165,1964-77
28/84,Hugh Taylor,WR,Oklahoma City,94,1947-54
55,Jason Taylor,DE,Akron,13,2008
27/29,Keith Taylor,S,Illinois,20,1994-96
78,Mike Taylor,OT,Southern California,5,1971
22,Roosevelt Taylor,S,Grambling,14,1972
21/36,Sean Taylor,S,Miami ( FL ),55,2004-07
37/89,Joe Tereshinski,TE,Georgia,86,1947-54
31,David Terrell,S,Texas-El Paso,61,2000-03
7,Joe Theismann,QB,Notre Dame,167,1974-85
17,Harry Theofiledes,QB,Waynesburg,5,1968
32,Keith Thibodeaux,CB,Northwestern State,15,1997
69,R. C. Thielemann,G,Arkansas,43,1985-88
89,Chris Thomas,WR,Cal . Poly,29,1997-99
11/81,Devin Thomas,WR,Michigan State,34,2008-10
47,Duane Thomas,RB,West Texas A & M,24,1973-74
20,George Thomas,RB,Oklahoma,24,1950-51
22/41/47,Johnny Thomas,CB,Baylor,56,"1988 , 1990 , 1992-94"
