Pick #,MLS Team,Player,Position,Affiliation
37,Real Salt Lake,Luke Kreamalmeyer,M,Bradley University
38,C.D . Chivas USA,Esteban Arias,D,University of Connecticut
39,Chicago Fire,Karim Deitz,F,Birmingham Southern College
40,F.C . Dallas,Julian Nash,F,Creighton University
41,San Jose Earthquakes,Antouman Jallow,F,University of Wisconsin-Milwaukee
42,San Jose Earthquakes,James Twellman,D,Stanford University
43,Colorado Rapids,Guy Melamed,D,Boston College
44,Columbus Crew,Knox Cameron,F,University of Michigan
45,Colorado Rapids,Amir Lowery,M,Wake Forest University
46,Los Angeles Galaxy,Mubarike Chisoni,M,Coastal Carolina University
47,Kansas City Wizards,John Minagawa-Webster,M,Michigan State University
48,D.C. United,Tim Merritt,D,University of North Carolina
