Year,Film,Role
1997,Bent,Captain
1998,The Land Girls,Philip
1999,After the Rain,Steph
2000,Kiss Kiss ( Bang Bang ),Jimmy
2000,The Suicide Club,Shaw
2000,Dead Babies,Quentin
2000,Gangster No . 1,Young Gangster
2001,A Knight 's Tale,Geoffrey Chaucer
2001,A Beautiful Mind,Charles Herman
2002,Euston Road,Y
2002,The Heart of Me,Rickie
2003,Master and Commander : The Far Side of the World,Dr. Stephen Maturin
2003,The Reckoning,Nicholas
2003,Dogville,Tom Edison
2004,Wimbledon,Peter Colt
2006,Firewall,Bill Cox
2006,The Da Vinci Code,Silas
2008,Iron Man,J.A.R.V.I.S
2008,The Secret Life of Bees,T. Ray Owens
2008,Inkheart,Dustfinger
