Name,Species,Author,Work,Notes
Alexander,Elephant,Jean de Brunhoff,Babar the Elephant,Son of Babar and Celeste
Arthur,Elephant,Jean de Brunhoff,Babar the Elephant,Cousin of Babar
Babar,Elephant,Jean de Brunhoff,Babar the Elephant,An elephant prince
Berilia,Elephant,Terry Pratchett,Discworld,One of the four elephants who carry the Discworld whilst standing on the shell of Great A'Tuin the Turtle
Celeste,Elephant,Jean de Brunhoff,Babar the Elephant,"Female cousin of Babar , with whom she eventually marries"
Chota,Asian elephant,Elif Şafak,The Architects Apprentice,"A gift to the Sultan , this very white elephant dwells in the royal menagerie when not used on construction sites . ( Also mentioned are Chota 's mother Pakeeza , his mate Gulbahar , his son Panj , and Mahmood , an African bush elephant who is Chota 's rival for status . )"
Cornelius,Elephant,Jean de Brunhoff,Babar the Elephant,Counsellor of king Babar
The Elephant Child,African bush elephant,Rudyard Kipling,Just So Stories,In How the Elephant Got His Trunk
Ella,Elephant,Carmela D ' Amico and Steven D ' Amico,Ella the Elephant,A jolly young elephant who wears a big red hat and a blue criss-cross dress
Elmer,Elephant,David McKee,Elmer the Patchwork Elephant,Character of children 's story books
Flora,Elephant,Jean de Brunhoff,Babar the Elephant,Daughter of Babar and Celeste
Great T'Phon,Elephant,Terry Pratchett,Discworld,One of the four elephants who carry the Discworld whilst standing on the shell of Great A'Tuin the Turtle
Hathi,Asian elephant,Rudyard Kipling,The Jungle Book,"Head of the jungle elephant troop ; featured in several adventures with the boy , Mowgli"
Horton,Elephant,Dr. Seuss,Horton Hears a Who !,"A fictional character from the books Horton Hatches the Egg and Horton Hears a Who ! , both by Dr. Seuss . Horton is a kind , sweet-natured elephant who cares about other animals or people"
Icebones,Mammoth,Stephen Baxter,Icebones,Major character in the novel
Isabelle,Elephant,Jean de Brunhoff,Babar the Elephant,Daughter of Babar and Celeste
Jerakeen,Elephant,Terry Pratchett,Discworld,One of the four elephants who carry the Discworld whilst standing on the shell of Great A'Tuin the Turtle
Jumbo ( given name ),Asian elephant,Mark Twain,The Stolen White Elephant,White elephant 's actual name : Hassan Ben Ali Ben Selim Abdallah Mohammed Moist Alhammal Jamsetjejeebhoy Dhuleep Sultan Ebu Bhudpoor
Kabumpo,Elephant,Ruth Thompson,Kabumpo in Oz,"Also known as the Elegant Elephant of Pumperdink he was originally a christening gift to the king of Pumperdink , Pompus"
Kala Nag,Asian elephant,Rudyard Kipling,The Jungle Book,In Toomai of the Elephants ( Kala Nag means Black Snake )
