Year,Play,Role,Notes
2002-2003,Flower Drum Song,Ensemble,August Wilson Theatre ; Understudy for Wang Ta
2004-2005,Pacific Overtures,Ensemble,Studio 54 ; Understudy for Kayama
2005,Thoroughly Modern Millie,Bun Foo,Regional
2005,Wicked,Boq / Tin Woodman,Oriental Theatre
2006-2010,Rent,Ensemble,Nederlander Theatre and National tour ; Understudy for Angel
2010,Rent,Angel Schunard,Hollywood Bowl
2011-2012,Godspell,Ensemble,Circle in the Square Theatre
"2012 , 2015-2016",Allegiance,Young Sam Kimura,"Old Globe Theatre , Longacre Theatre"
2016,The Secret Garden,Fakir Bastiaan,David Geffen Hall
2016-2017,In Transit,Steven,Circle in the Square
2017-2019,Aladdin,Aladdin,New Amsterdam Theatre
