Team,Location,Stadium,Stadium capacity
Busan Transportation Corporation,Busan,Busan Gudeok Stadium,"24,363"
Changwon City,Changwon,Changwon Football Center,"15,500"
Cheonan City,Cheonan,Cheonan Stadium,"32,000"
Gangneung City,Gangneung,Gangneung Stadium,"22,333"
Gimhae City,Gimhae,Gimhae Stadium,"30,000"
Gyeongju Korea Hydro & Nuclear Power,Gyeongju,Gyeongju Civic Stadium,"12,199"
Incheon Korail,Incheon,Incheon Munhak Stadium,"49,084"
Mokpo City,Mokpo,Mokpo International Football Center,"5,952"
Ulsan Hyundai Mipo Dockyard Dolphin,Ulsan,Ulsan Stadium,"19,665"
Yongin City,Yongin,Yongin Football Center,"12,000"
