Name,Age,Position,Club
Graeme Mackey ( c ),26,Half forward,Sandy Bay
Geoff Cayzer,28,Ruckman,Latrobe
Bob Cheek,29,Ruckman,Clarence
Peter Daniel,25,Key position player,North Launceston
John Emin,23,Ruckman,Hobart
Carl Gaby,25,Wingman,Wynyard
Zigmont Haremza,22,Utility,New Norfolk
Rod Hughes,20,Rover,Scottsdale
Steve Hywood,24,Half back,Sandy Bay
Peter King,21,Rover,Wynyard
Greg Lethborg,25,Utility,Scottsdale
Rod Mayne,20,Forward,North Hobart
Leigh McConnon,21,Wingman,North Hobart
Donald McLeod,20,Centre half forward,North Hobart
David Morrison,24,Back pocket,Sandy Bay
Bruce Neish,25,Half back,North Launceston
Trevor Oakley,22,Half back flanker,North Hobart
Peter Ratcliffe,29,Full-back,Hobart
Kim Saltmarsh,21,Wingman,City-South
Denis Scanlon,20,Ruckman,North Hobart
