Opponent,S,Occurrences,GP,Rec,%
Montreal Canadiens,7,"1980 , 1986 , 1988 , 1989 , 1992 , 2002 , 2006",39,2-5,.286
Boston Bruins,5,"1990 , 1991 , 1999 , 2009 , 2019",30,1-4,.200
New Jersey Devils,4,"2001 , 2002 , 2006 , 2009",24,3-1,.750
Colorado Avalanche,2,"1986 , 1987",9,1-1,.500
Buffalo Sabres,1,2006,7,1-0,1.000
Edmonton Oilers,1,2006,7,1-0,1.000
New York Islanders,1,2019,4,1-0,1.000
Toronto Maple Leafs,1,2002,6,1-0,1.000
Washington Capitals,1,2019,7,1-0,1.000
Detroit Red Wings,1,2002,5,0-1,.000
Pittsburgh Penguins,1,2009,4,0-1,.000
Totals,25,,142,12-13,.480
