Date,Race,Location,Winner
2005-01-20,"Stage 3 , Tour Down Under",Australia,Luis Leon Sanchez
2005-01-22,"Stage 5 , Tour Down Under",Australia,Alberto Contador
2005-01-23,"Overall , Tour Down Under",Australia,Luis Leon Sanchez
2005-03-04,"Stage 3 , Vuelta a Murcia",Spain,Allan Davis
2005-03-06,"Stage 5 , Vuelta a Murcia",Spain,Allan Davis
2005-03-06,"Overall , Vuelta a Murcia",Spain,Koldo Gil
2005-03-23,"Stage 3 , Setmana Catalana de Ciclisme",Spain,Alberto Contador
2005-03-25,"Overall , Setmana Catalana de Ciclisme",Spain,Alberto Contador
2005-04-08,"Stage 5b , Tour of the Basque Country",Spain,Alberto Contador
2005-04-10,Klasika Primavera,Spain,David Etxebarria
2005-04-17,"Stage 5 , Vuelta a Aragon",Spain,Allan Davis
2005-04-30,"Stage 4 , Tour de Romandie",Switzerland,Alberto Contador
2005-05-08,"Stage 3 , Clasica a Alcobendas",Spain,Luis Leon Sanchez
2005-05-14,"Stage 7 , Giro d'Italia",Italy,Koldo Gil
2005-06-01,"Stage 1 , Euskal Bizikleta",Spain,Angel Vicioso
2005-06-04,"Stage 4a , Euskal Bizikleta",Spain,Angel Vicioso
2005-07-21,"Stage 18 , Tour de France",France,Marcos Serrano
2005-08-06,"Stage 3 , Eneco Tour",Netherlands,Allan Davis
2005-09-01,"Stage 6 , Vuelta a España",Spain,Roberto Heras
2005-09-04,"Stage 4 , Tour de l'Avenir",France,Koen de Kort
