Year,Title,Role
2002,Ultimate Force,Cpl . Mick Sharp
2003,Foyle 's War,Simon Walker
2004,Island at War,Airman Bernhardt Tellemann
2004,AD/BC : A Rock Opera,Townsfolk
2005,Colditz,Capt . Tom Willis
2005,The Last Drop,SS Maj. Kessler
2005,Jericho,Peter Bridgewater
2005,Egypt,Leonard
2005,Whatever Love Means,"Charles , Prince of Wales"
2006-2015,Lewis,D.S . James Hathaway
2006,Agatha Christie 's Marple : The Sittaford Mystery,James Pearson
2007,A Room with a View,Cecil Vyse
2008,Wired,Philip Manningham
2011,"Fast Freddie , The Widow and Me",Jonathan Donald
2015,Bear Grylls : Mission Survive,"Himself , contestant"
2015,The Frankenstein Chronicles,Frederick Dipple
2017,Frankie Drake Mysteries,Greg Mills
2019,Victoria,Lord Palmerston
