Baker,Age,Occupation,Hometown
Ali Imdad,25,Charity worker,"Saltley , Birmingham"
Beca Lyne-Pirkis,31,Military Wives ' Choir Singer,"Aldershot , Hampshire"
Christine Wallace,66,Director of an engraving company,"Didcot , Oxfordshire"
Deborah Manger,51,Dentist,Peterborough
Frances Quinn,31,Children 's Clothes Designer,"Market Harborough , Leicestershire"
Glenn Cosby,37,English Teacher,"Teignmouth , Devon"
Howard Middleton,51,Council Worker,Sheffield
Kimberley Wilson,30,Psychologist,London
Lucy Bellamy,38,Horticulturist,"Grimsby , Lincolnshire"
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert Smart,54,Space Satellite Designer,"Melbourn , Cambridgeshire"
Ruby Tandoh,20,History of Art and Philosophy Student,"Southend , Essex"
Toby Waterworth,30,Web Programmer,"Reading , Berkshire"
