Year,Athlete,Nationality,Time ( h : m : s ),Notes
1981,Joyce Smith,United Kingdom,2:29:57,Course record
1982,Joyce Smith,United Kingdom,2:29:43,Course record ; second victory
1983,Grete Waitz,Norway,2:25:29,World marathon record
1984,Ingrid Kristiansen,Norway,2:24:26,Course record
1985,Ingrid Kristiansen,Norway,2:21:06,World marathon record ; second victory
1986,Grete Waitz,Norway,2:24:54,Second victory
1987,Ingrid Kristiansen,Norway,2:22:48,Third victory
1988,Ingrid Kristiansen,Norway,2:25:41,Fourth victory
1989,Véronique Marot,United Kingdom,2:25:56,
1990,Wanda Panfil,Poland,2:26:31,
1991,Rosa Mota,Portugal,2:26:14,
1992,Katrin Dörre-Heinig,Germany,2:29:39,
1993,Katrin Dörre-Heinig,Germany,2:27:09,Second victory
1994,Katrin Dörre-Heinig,Germany,2:32:34,Third victory
1995,Małgorzata Sobańska,Poland,2:27:43,
1996,Liz McColgan,United Kingdom,2:27:54,
1997,Joyce Chepchumba,Kenya,2:26:51,
1998,Catherina McKiernan,Ireland,2:26:26,
1999,Joyce Chepchumba,Kenya,2:23:22,Second victory
2000,Tegla Loroupe,Kenya,2:24:33,
