Team,Team Based,Stadium Location,Stadium,Stadium Capacity
Betaria,Tampin,Paya Rumput,Hang Jebat Stadium,"40,000"
Johor,Johor Bahru,Pasir Gudang,Pasir Gudang Corporation Stadium,"15,000"
Kedah,Alor Star,Alor Star,Darulaman Stadium,"32,387"
Perlis,Kangar,Kangar,Utama Negeri Stadium,"20,000"
Sabah,Kota Kinabalu,Kota Kinabalu,Likas Stadium,"30,000"
Sarawak,Kuching,Kuching,Sarawak Stadium,"40,000"
Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,KLFA Stadium,"18,000"
PDRM,Kuala Lumpur,Paya Rumput,Hang Jebat Stadium,"40,000"
Pos Malaysia,Kuala Lumpur,Selayang,Majlis Perbandaran Selayang Stadium,"25,000"
Sime Darby,Kuala Lumpur,Selayang,Majlis Perbandaran Selayang Stadium,"25,000"
SPA,Putrajaya,Bangi,Petronas Mini Stadium,"3,000"
UiTM,Selangor,Shah Alam,UiTM Stadium,"10,000"
