Club,City,Titles,Last Title
CNaPS Sport,Miarinarivo,7,2018
AS Fortior,Toamasina,4,2000
AS Sotema,Mahajanga,4,1992
AS Corps Enseignement,Toliara,3,1977
AS Adema,Antananarivo,3,2012
Ajesaia,Antananarivo,2,2009
Dinamo Fima,Antananarivo,2,1983
DSA Antananarivo,Antananarivo,2,1998
Fortior Mahajanga,Mahajanga,2,1979
MMM Toamasina,Toamasina,2,1980
AS St. Michel,Antananarivo,2,1978
BTM Antananarivo,Antananarivo,2,1986
Académie Ny Antsika,Vakinankaratra,1,2008
FC BFV,Antananarivo,1,1996
Ambatondrazaka Sport,,1,1956
JS Antalaha,Antalaha,1,1973
COSFAP Antananarivo,Antananarivo,1,1988
Ecoredipharm,Tamatave,1,2003
ASF Fianarantsoa,Fianarantsoa,1,1990
Fitarikandro,Fianarantsoa,1,1968
