Artist,Song Title,AU,DE,PT
Annie,I Know UR Girlfriend Hates Me,Yes,Yes,Yes
Avril Lavigne,When You 're Gone,Yes,Yes,Yes
Calvin Harris,Acceptable in the 80s,Yes,Yes,Yes
Colbie Caillat,Bubbly,Yes,Yes,Yes
Delta Goodrem,You Will Only Break My Heart,Yes,Yes,Yes
Fall Out Boy,Thnks Fr Th Mmrs,Yes,Yes,Yes
Fergie,Clumsy,Yes,Yes,Yes
Finger Eleven,Paralyzer,Yes,Yes,Yes
The Fray,How to Save a Life,Yes,Yes,Yes
Gabriella Cilmi,Sweet About Me,Yes,Yes,Yes
Lily Allen,LDN,Yes,Yes,Yes
Maroon 5,Makes Me Wonder,Yes,Yes,Yes
Mika,Grace Kelly,Yes,Yes,Yes
Mika,Love Today,Yes,Yes,Yes
My Chemical Romance,Teenagers,Yes,Yes,Yes
Nelly Furtado,All Good Things ( Come to an End ),Yes,Yes,Yes
One Night Only,Just for Tonight,Yes,Yes,Yes
OneRepublic,Stop and Stare,Yes,Yes,Yes
Operator Please,Just a Song About Ping Pong,Yes,Yes,Yes
The Potbelleez,Do n't Hold Back,Yes,Yes,Yes
