Club,Location,Stadium,Capacity,Current manager
Atletas,Kaunas,S. Darius and S. Girėnas Stadium,"9,180",Saulius Širmelis
Banga,Gargždai,Gargždai Stadium,"1,800",Arminas Narbekovas
Ekranas,Panevėžys,Aukštaitija Stadium,"4,000",Valdas Urbonas
Klaipėda,Klaipėda,Žalgiris Stadium ( Klaipėda ),"5,000",Saulius Mikalajūnas
Kruoja,Pakruojis,Pakruojis Stadium,"2,000",Albertas Klimavičius
Mažeikiai,Mažeikiai,Sports Centre Stadium,"2,300",Nerijus Gudaitis
Sūduva,Marijampolė,Sūduva Stadium,"6,260",Donatas Vencevičius
Šiauliai,Šiauliai,Savivaldybė Stadium,"3,000",Deivis Kančelskis
Tauras,Tauragė,Vytauto Stadium,"1,600",Gedeminas Jarmalavičius
Vėtra,Vilnius,Vėtra Stadium,"5,300",Virginijus Liubšys
Žalgiris,Vilnius,Žalgiris Stadium,"15,030",Igoris Pankratjevas
