Province,Capital,Area ( km² ),Population,Density
Azua,Azua,"2,531.77","298,246",118
Baoruco,Neiba,"1,282.23","111,269",87
Barahona,Barahona,"1,739.38","232,818",134
Dajabón,Dajabón,"1,020.73","87,274",86
Distrito Nacional,Santo Domingo,104.44,"1,402,749","13,431"
Duarte,San Francisco de Macorís,"1,605.35","338,649",211
El Seibo,El Seibo,"1,786.80","110,212",62
Elías Piña,Comendador,"1,426.20","84,632",59
Espaillat,Moca,838.62,"333,401",398
Hato Mayor,Hato Mayor,"1,329.29","103,032",78
Hermanas Mirabal,Salcedo,440.43,"121,887",277
Independencia,Jimaní,"2,006.44","74,583",37
La Altagracia,Higüey,"3,010.34","372,289",124
La Romana,La Romana,653.95,"344,580",527
La Vega,Concepción de La Vega,"2,287.24","447,905",196
María Trinidad Sánchez,Nagua,"1,271.71","195,886",154
Monseñor Nouel,Bonao,992.39,"203,183",205
Monte Cristi,Monte Cristi,"1,924.35","150,833",78
Monte Plata,Monte Plata,"2,632.14","222,641",85
Pedernales,Pedernales,"2,074.53","52,165",25
