Dance,Best dancer,Best score,Worst dancer,Worst score
Cha Cha Cha,Brigitte Kren,31,Dolly Buster,18
Foxtrot,Petra Frey,39,Dolly Buster,15
Jive,Petra Frey,39,Wolfram Pirchner,12
Mambo,Petra Frey Eva Maria Marold,33,Marco Ventre,24
Paso Doble,Frenkie Schinkels,34,Marco Ventre,21
Quickstep,Marco Ventre,33,Michael Schönborn Wolfram Pirchner Dolly Buster,15
Rumba,Eva Maria Marold,35,Albert Fortell,12
Samba,Petra Frey,37,Dolly Buster,14
Tango,Sueli Menezes,30,Marco Ventre Frenkie Schinkels,21
Viennese Waltz,Brigitte Kren,35,Frenkie Schinkels,16
Waltz,Petra Frey,39,Wolfram Pirchner,17
