Company,ICB Sector,Canton,Ticker symbol,Weight (% )
ABB,electronic and electrical equipment,Zurich,ABBN,3.61
Adecco,business training and employment agencies,Zurich,ADEN,0.95
Alcon,healthcare,Fribourg,ALC,3.09
Credit Suisse,banks,Zurich,CSGN,2.95
Geberit,building materials and fixtures,St. Gallen,GEBN,1.77
Givaudan,specialty chemicals,Geneva,GIVN,2.25
LafargeHolcim,building materials and fixtures,St. Gallen,LHN,2.44
Lonza,pharmaceuticals and biotechnology,Basel,LONN,2.81
Nestlé,food products,Vaud,NESN,19.17
Novartis,pharmaceuticals,Basel,NOVN,18.01
Richemont,clothing and accessories,Geneva,CFR,4.42
Roche,pharmaceuticals,Basel,ROG,17.87
SGS,business support services,Geneva,SGSN,1.36
Sika,specialty chemicals,Zug,SIKA,1.92
Swatch,clothing and accessories,Bern,UHR,0.92
Swiss Life,life insurance,Zurich,SLHN,1.74
Swiss Re,reinsurance,Zurich,SREN,3.24
Swisscom,fixed line telecommunications,Bern,SCMN,1.34
UBS,banks,Zurich,UBSG,4.41
Zurich Insurance,full line insurance,Zurich,ZURN,5.76
