Release,Title,Windows,6th Gen,Handheld,5th Gen
January 3,Jazz Jackrabbit,N/A,N/A,GBA,N/A
January 3,Super Bubble Pop,N/A,GCN,GBA,N/A
January 7,Crash Bandicoot 2 : N-Tranced,N/A,N/A,GBA,N/A
January 11,Dynasty Warriors 3 : Xtreme Legends,N/A,PS2,N/A,N/A
January 12,Panzer Dragoon Orta,N/A,Xbox,N/A,N/A
January 14,SimCity 4,Windows,N/A,N/A,N/A
January 19,The Getaway,N/A,PS2,N/A,N/A
January 20,Battle Engine Aquila,N/A,"PS2 , Xbox",N/A,N/A
January 22,Dead or Alive Xtreme Beach Volleyball,N/A,Xbox,N/A,N/A
January 25,Devil May Cry 2,N/A,PS2,N/A,N/A
January 26,Black & Bruised,N/A,"GCN , PS2",N/A,N/A
January 26,HSX : Hypersonic.Xtreme,N/A,PS2,N/A,N/A
February 6,GT Advance 3 : Pro Concept Racing,N/A,N/A,GBA,N/A
February 10,Command & Conquer : Generals,Win,N/A,N/A,N/A
February 10,.hack//Infection Part 1,N/A,PS2,N/A,N/A
February 11,Capcom vs. SNK EO,N/A,Xbox,N/A,N/A
February 12,Knight Rider : The Game,Win,PS2,N/A,N/A
February 12,Yu-Gi-Oh ! Dungeon Dice Masters,N/A,N/A,N/A,GBA
February 13,Tom Clancy 's Splinter Cell,Windows,N/A,N/A,N/A
February 15,Disaster Report,N/A,PS2,N/A,N/A
