Year,Title,Role,Notes
1985,Ryan 's Hope,,1 episode
1986,The Equalizer,,2 episodes
1988,Monsters,Debbie Curzon,Episode : The Legacy
1994,Friends,Obsession girl,Episode : The One Where Underdog Gets Away
2000,Arli $ $,,1 episode
2000,ER,Regina Morgan,Episode : Sand and Water
2002,The Agency,Greta,Episode : Air Lex
2009,Law & Order,Susan Grayson,Episode : Pledge
2012,American Horror Story,Rhonda Lancaster,Episode : Unholy Night
2013,The Young and the Restless,Model Agent ( uncredited ),Episode : # 1.10195 ( TV Episode 2013 )
