Season,Regular Season Champion,Conference Record
1983,George Mason,4-1-0
1984,American,5-0-2
1985,American,6-1-0
1986,George Mason,5-0-2
1987,William & Mary,6-1-0
1988,Navy,5-1-1
1989,George Mason,6-0-1
1990,George Mason,6-1-0
1991,James Madison,6-1-0
1992,William & Mary,5-0-2
1993,James Madison,7-0-0
1994,James Madison,6-0-1
1995,William & Mary,6-2-0
1996,William & Mary,8-0-0
1997,American,6-0-2
1998,VCU,7-0-1
1999,Old Dominion,7-1-0
2000,James Madison,7-1-0
2001,Old Dominion,3-0-2
2002,VCU,7-1-1
