Year,Player,High School,College
2016,Malik Monk,"Bentonville High School , Bentonville",Kentucky
2015,KeVaughn Allen ( 2 ),"North Little Rock High School , North Little Rock",Florida
2014,KeVaughn Allen,"North Little Rock High School , North Little Rock",Florida
2013,Bobby Portis,"Hall High School , Little Rock",Arkansas
2012,Archie Goodwin ( 2 ),"Sylvan Hills High School , Sherwood",Kentucky
2011,Archie Goodwin,"Sylvan Hills High School , Sherwood",Kentucky
2010,Preston Purifoy,"Conway High School , Conway",UAB
2008,A. J. Walton,"Hall High School , Little Rock",Baylor
2007,James Anderson ( 2 ),"Junction City High School , Junction City",Oklahoma State
2006,James Anderson,"Junction City High School , Junction City",Oklahoma State
2005,Brandon Ballard,"Buffalo Island Central High School , Monette",Arkansas State
2004,Marcus Monk,"East Poinsett County High School , Lepanto",Arkansas
2003,Ronnie Brewer,"Fayetteville High School , Fayetteville",Arkansas
2002,Antwoine Blanchard,"Parkview Magnet High School , Little Rock",Texas State
2000,Kim Adams,"J . A . Fair High School , Little Rock",Arkansas State
1999,Joe Johnson,"Little Rock Central High School , Little Rock",Arkansas
1998,Jason Harrison,"Parkview High School , Little Rock",Mississippi
