Rank,Title,Studio,Total Gross ( in millions )
1,Harry Potter and the Order of the Phoenix,Warner Bros,$ 31.27
2,Spider-Man 3,Sony,$ 30.57
3,Transformers,Paramount / Dreamworks,$ 27.24
4,Pirates of the Caribbean : At World 's End,Disney,$ 26.77
5,Shrek the Third,Paramount/Dreamworks,$ 26.41
6,The Bourne Ultimatum,Universal,$ 22.26
7,300,Warner Bros,$ 22.17
8,I Am Legend,Warner Bros,$ 19.51
9,The Simpsons Movie,Fox,$ 18.93
10,National Treasure : Book of Secrets,Disney,$ 15.01
11,Juno,Fox Searchlight,$ 14.21
12,Ratatouille,Disney/ Pixar,$ 13.66
13,Superbad,Sony,$ 13.43
14,Knocked Up,Universal,$ 13.28
15,Wild Hogs,Disney,$ 12.81
16,Alvin and the Chipmunks,Fox,$ 12.51
17,American Gangster,Universal,$ 11.42
18,Hairspray,New Line,$ 10.99
19,Live Free or Die Hard,Fox,$ 10.86
20,Blades of Glory,Paramount/Dreamworks,$ 10.46
