Title,Website,Headquarters,Circulation
ABC,abc.es,Madrid,"198,347"
Ara,ara.cat,Barcelona,"29,930"
Canarias 7,canarias7.es,Las Palmas de Gran Canaria,"16,700"
Deia,deia.com,Bilbao,"19,336"
Diari de Girona,diaridegirona.cat,Girona,"7,735"
Diari de Tarragona,diaridetarragona.com,Tarragona,"11,548"
Diario Córdoba,diariocordoba.com,Córdoba,"10,547"
Diario de Avisos,diariodeavisos.com,Santa Cruz de La Palma,"10,085"
Diario de Burgos,diariodeburgos.es,Burgos,"11,614"
Diario de Cádiz,diariodecadiz.com,Cádiz,"18,469"
Diario de Ibiza,diariodeibiza.es,Ibiza,"5,593"
Diario de Jerez,diariodejerez.com,Jerez de la Frontera,"6,104"
Diario del AltoAragón,diariodelaltoaragon.es,Huesca,"6,116"
Diario de León,diariodeleon.es,León,"13,776"
Diario de Mallorca,diariodemallorca.es,Palma de Mallorca,"17,894"
Diario de Navarra,diariodenavarra.es,Pamplona,"45,658"
Diario de Noticias,noticiasdenavarra.com,Pamplona,"17,755"
Diario de Pontevedra,diariodepontevedra.galiciae.com,Pontevedra,"6,704"
Diario de Sevilla,diariodesevilla.es,Seville,"23,192"
Diario Jaén,diariojaen.es,Jaén,"5,642"
