Year,Time,Athlete,Location
2019,14:20.36,Hellen Obiri ( KEN ),London
2018,14:21.75,Hellen Obiri ( KEN ),Rabat
2017,14:18.37,Hellen Obiri ( KEN ),Rome
2016,14:12.59,Almaz Ayana ( ETH ),Rome
2015,14:14.32,Almaz Ayana ( ETH ),Shanghai
2014,14:28.88,Genzebe Dibaba ( ETH ),Monaco
2013,14:23.68,Tirunesh Dibaba ( ETH ),Paris
2012,14:35.62,Vivian Cheruiyot ( KEN ),Rome
2011,14:20.87,Vivian Cheruiyot ( KEN ),Stockholm
2010,14:24.79i,Meseret Defar ( ETH ),Stockholm
2009,14:24.37i,Meseret Defar ( ETH ),Stockholm
2008,14:11.15,Tirunesh Dibaba ( ETH ),Oslo
2007,14:16.63,Meseret Defar ( ETH ),Oslo
2006,14:24.53,Meseret Defar ( ETH ),New York City
2005,14:28.98,Meseret Defar ( ETH ),Brussels
2004,14:24.68,Elvan Abeylegesse ( TUR ),Bergen
2003,14:29.32,Berhane Adere ( ETH ),Oslo
2002,14:31.42,Paula Radcliffe ( GBR ),Manchester
2001,14:29.32,Olga Yegorova ( RUS ),Berlin
2000,14:30.88,Getenesh Wami ( ETH ),Heusden
