Season,Event type,Location,Format,Date,Rank
1997-98,Pro Tour,Los Angeles,Block Constructed,6-8 March 1998,2
1997-98,Worlds,Seattle,Standard,12-16 August 1998,2
1999-00,Pro Tour,London,Limited,15-17 October 1999,4
1999-00,Pro Tour,New York,Block Constructed,14-16 April 2000,3
1999-00,Grand Prix,Pittsburgh,Team Limited,24-25 June 2000,1
2000-01,Masters,New York,Extended,29 September-1 October 2000,5
2000-01,Invitational,Sydney,Special,16-19 November 2000,2
2000-01,Masters,Chicago,Limited,1-3 December 2000,1
2000-01,Masters,Barcelona,Block Constructed,4-6 May 2001,1
2000-01,Grand Prix,"Columbus , Ohio",Team Limited,28-29 July 2001,3
2001-02,Grand Prix,Houston,Extended,5-6 January 2002,4
2002-03,Grand Prix,Boston,Limited,22-23 February 2003,5
2003-04,Grand Prix,Anaheim,Extended,13-14 December 2003,1
2003-04,Grand Prix,Oakland,Limited,7-8 February 2004,6
2015-16,Grand Prix,Oakland,Standard,9-10 January 2016,2
2016-17,Grand Prix,Louisville,Team Limited,10-11 September 2016,2
