Club,City,Arena,Capacity
Budućnost VOLI,Podgorica,Morača,"6,000"
Danilovgrad,Danilovgrad,Gradska dvorana,"1,200"
Ibar,Rožaje,Bandžovo Brdo,"2,500"
Jedintsvo,Bijelo Polje,SC Nikoljac,"3,000"
Lovćen,Cetinje,SRC Lovćen,"1,500"
Mornar,Bar,Topolica,"3,500"
Primorje,Herceg Novi,SC Igalo,"2,000"
Studenski Centar,Podgorica,University Sports Center,"1,500"
Sutjeska,Nikšić,Nikšić Sports Center,"3,000"
All Star,Spuž,Academy Danilovgrad,600
Teodo,Tivat,Župa SC,"1,500"
Zeta,Golubovci,House of basketball Donji Kokoti,500
