Year,Player,High School,College
1983,Tom Meier,Hayden,Washburn
1984,Danny Manning,Lawrence,Kansas
1985,Danny Kingcannon,Topeka Highland Park,
1986,Steve Henson,McPherson,Kansas State
1987,J. T. Marshall,Manhattan,Texas State
1988,Gaylon Nickerson,Wichita North,Wichita State *
1989,Val Barnes,Wichita South,Iowa
1990,Tony Arrington,Topeka,Washburn
1991,Brian Henson,McPherson,Kansas State
1992,Ryan Herrs,McPherson,Wichita State
1993,B. J. Williams,Wichita South,Kansas
1994,C. B. McGrath,Topeka West,Kansas
1995,Kris Weems,Schlagle,Stanford
1996,Josh Reid,Brewster,Kansas State
1997,Brett McFall,Olathe South,Wyoming
1998,John Crider,Horton,Washburn
1999,Quentin Buchanan,Junction City,Kansas State
2000,Matt Freije,Shawnee Mission West,Vanderbilt
2001,Wayne Simien,Leavenworth,Kansas
2002,Taj Gray,Wichita East,Oklahoma
