Name,Location,Date,Notes,Grade
Farfield Friends Meeting House,"Addingham , West Yorkshire 53°57′44″N 1°53′08″W / 53.9621°N 1.8855°W / 53.9621 ; -1.8855 ( Farfield Friends Meeting House )",1689,"This is a small , simple Quaker meeting house built immediately after the Act of Toleration , on land previously used as a burial ground . Outside the meeting house are five chest tombs of an unusual type for a Quaker burial ground",II*
Walpole Old Chapel,"Walpole , Suffolk 52°19′24″N 1°28′54″E / 52.3232°N 1.4816°E / 52.3232 ; 1.4816 ( Walpole Old Chapel )",1689,"Built as soon as allowed by the Act of Toleration , the chapel was converted from an existing farmhouse . Initially used by a group of Independent Christians , it later became a Congregational chapel . In the 1860s , it was taken over by the Primitive Methodists",II*
Cote Baptist Chapel,"Bampton , Oxfordshire 51°43′32″N 1°29′35″W / 51.7255°N 1.4930°W / 51.7255 ; -1.4930 ( Cote Baptist Chapel )",1703-04,"The chapel was built for a group of Baptists originating on the other side of the River Thames . It was enlarged in the 1750s , and in the late 1850s underwent an extensive restoration . Following another restoration in the 1990s , it is now used for weddings , concerts , and other events",II*
Salem Chapel,"East Budleigh , Devon 50°39′28″N 3°19′00″W / 50.6577°N 3.3167°W / 50.6577 ; -3.3167 ( Salem Chapel , East Budleigh )",1719,"Initially a Presbyterian chapel , it was later used by Congregationalists , and then by the Assemblies of God . Adjacent to it is a separate assembly room . It is now used for concerts and other events , weddings , and the occasional church service",II*
Coanwood Friends Meeting House,"Haltwhistle , Northumberland 54°55′27″N 2°27′15″W / 54.9243°N 2.4541°W / 54.9243 ; -2.4541 ( Coanwood Friends Meeting House )",1720,"This meeting house stands in an isolated position and is unchanged since it was built , other than the replacement of its thatched roof with slates . The interior retains its original layout , with rows of benches for the congregation and elders still in place . In the burial ground are typical Quaker gravestones , some of which commemorate the Wigham family , who helped to found the meeting house",II*
Grittleton Strict Baptist Chapel,"Grittleton , Wiltshire 51°31′09″N 2°12′02″W / 51.5193°N 2.2006°W / 51.5193 ; -2.2006 ( Grittleton Baptist Chapel )",1720 c. 1720,"The chapel opened in 1721 . It has a rectangular plan with a tiled roof . Inside there are galleries at each end . Under the north gallery is a vestry , in front of which is a pulpit with a staircase and preacher 's seat . In the body of the chapel are box pews and a child 's pew",II*
St George 's German Lutheran Church,"Alie Street , London 51°30′51″N 0°04′14″W / 51.5142°N 0.0705°W / 51.5142 ; -0.0705 ( St George 's German Lutheran Church )",1762-63,"St George 's was the fifth Lutheran church to be built in London , and continued to be used by Lutherans until 1996 . It now contains the offices of the Historic Chapels Trust and is also used for concerts , organ recitals , and other events",II*
St Benet 's Chapel,"Netherton , Merseyside 53°29′41″N 2°58′04″W / 53.4946°N 2.9678°W / 53.4946 ; -2.9678 ( St Benet 's Chapel , Netherton )",1793,"Although it was built after the Catholic Relief Acts that allowed Roman Catholics to worship openly , the chapel is concealed behind the presbytery that appears from the road to be a standard two-bay house . It retains some of its original fittings , and as of 2010 it is being restored as it would have been before the Second Vatican Council . The presbytery is used as a residence for retired priests",II*
Bethesda Methodist Chapel,"Hanley , Stoke-on-Trent , Staffordshire 53°01′24″N 2°10′37″W / 53.0233°N 2.1769°W / 53.0233 ; -2.1769 ( Bethesda Methodist Chapel , Hanley )",1819,"Once known as the Cathedral of the Potteries , it was built for the Methodist New Connexion . An elaborate portico was added to its frontage in 1859 . During the 20th century its congregation declined and its fabric deteriorated , leading to its closure in 1985 . Repairs costing £2.5 million are under way as of 2010",II*
Biddlestone Chapel,"Biddlestone , Northumberland 55°22′08″N 2°04′19″W / 55.3688°N 2.0720°W / 55.3688 ; -2.0720 ( Biddlestone Chapel )",1820 c. 1820,"The chapel stands in a remote location and was built as a private chapel for Biddlestone Hall by the Roman Catholic Selby family . The hall has been demolished , but the chapel has been retained . It was built on the remains of a medieval pele tower , incorporating some of its fabric",II*
