Venue,Sports,Capacity
Basketballhalle,"Basketball , Judo","6,635"
Bogenschießanlage,Archery,"1,100"
Dantebad,Water polo,"3,200"
Dressage Facility Nymphenburg,Equestrian ( dressage ),"8,000"
Grünwald,Cycling ( individual road race ),Not listed
"Messegelände , Fechthalle 1",Fencing ( final ),978
Messegelände Fechthalle 2,"Fencing , Modern pentathlon ( fencing )",978
"Messegelände , Gewichtheberhalle",Weightlifting,"3,297"
"Messegelände , Judo- und Ringerhalle","Judo , Wrestling","5,750"
Regattastrecke Oberschleißheim,"Canoeing ( sprint ) , Rowing","41,000"
"Riding Facility , Riem","Equestrian ( jumping individual , eventing cross-country ) , Modern pentathlon ( riding )","23,000"
Schießanlage,"Modern pentathlon ( shooting ) , Shooting","4,500"
