Year,Countdown Name,Rank
2003,Billboard 's Year-End 200 Albums,# 51 Metamorphosis
2003,Billboard 's Year-End 25 Soundtracks,# 5 The Lizzie McGuire Movie ( soundtrack )
2003,Billboard 's Year-End 200 Artists,# 43
2004,Billboard 's Year-End 200 Albums,# 17 Metamorphosis
2004,Billboard 's Year-End 200 Albums,# 112 Hilary Duff
2004,Billboard 's Year-End 25 Soundtracks,# 7 The Lizzie McGuire Movie ( soundtrack )
2004,Billboard 's Year-End 25 Soundtracks,# 10 A Cinderella Story ( soundtrack )
2004,Billboard 's Year-End 200 Artists,# 11
2004,Billboard 's Year-End Top Pop Artist,# 40
2005,Billboard 's Year-End 200 Albums,# 65 Hilary Duff
2005,Billboard 's Year-End 200 Albums,# 86 Most Wanted
2005,Billboard 's Year-End 200 Artists,# 26
2006,Billboard 's Year-End 200 Albums,# 104 Most Wanted
2007,Billboard 's Year-End 200 Albums,# 151 Dignity
2010,Billboard 's 100 Most Exotic Voices,# 10
2000 's,Billboard 's Decade-End 200 Artists,# 69
2000 's,Billboard 's Decade-End Soundtracks,# 11 The Lizzie McGuire Movie ( soundtrack )
2000 's,Billboard 's Decade-End 200 Albums,# 80 Metamorphosis
