Season,Top rating,PIR,Top scorer,PPG,Top rebounder,RPG,Top Assistant,APG
2007-08,Dejan Grković,19.19,Miroslav Jurić,19.58,Dejan Grković,8.81,Jure Močnik,4.85
2008-09,Shawn King,31.26,Gilbert Goodrich,22.15,Shawn King,14.79,Jure Močnik,4.59
2009-10,Shawn King,27.61,Sandi Čebular,20.69,Shawn King,11.30,Tadej Koštomaj,5.44
2010-11,Gregg Thondique,22.84,Benjamin Raymond,17.68,Gregg Thondique,10.53,Igor Mijajlović,4.68
2011-12,Travis Nelson,20.88,Travis Nelson,17.46,Miloš Miljković,8.57,Luka Rupnik,5.33
2012-13,Kervin Bristol,20.07,Sašo Zagorac,17.50,Kervin Bristol,10.86,Daniel Vujasinović,5.81
2013-14,Ousman Krubally,20.03,Ousman Krubally,17.17,Ousman Krubally,9.07,Daniel Vujasinović,7.63
2014-15,Sašo Zagorac,20.41,Sašo Zagorac,18.86,Smiljan Pavič,8.86,Jan Močnik,6.96
2015-16,Jan Barbarič,23.20,Jan Barbarič,18.60,Smiljan Pavič,8.39,Matic Rebec,5.59
2016-17,Igor Tratnik,19.45,Duda Sanadze,17.32,Jakob Čebašek,8.63,Daniel Vujasinović,8.29
2017-18,Smiljan Pavič,19.63,Blaž Mahkovic,18.97,Dino Murić,8.27,Žan Mark Šiško,7.03
2018-19,Davor Konjević,22.37,Davor Konjević,19.96,Matur Maker,9.59,Žan Mark Šiško,6.83
