Medal,Name,Sport,Event
Gold,Boris Brnad,Athletics,Long jump
Gold,Božidar Đurašković,Athletics,3000 m Steeplechase
Gold,Branko Dangubić,Athletics,Javelin throw
Silver,Zdravko Ceraj,Athletics,5000 m
Silver,Franjo Mihalić,Athletics,"10,000 m"
Silver,Petar Šegedin,Athletics,3000 m Steeplechase
Silver,Igor Zupančič Andrija Otenhajmer Marko Račič Zvonko Sabolović,Athletics,Men 's 4x400 m
Silver,Ivan Gubijan,Athletics,Hammer throw
Bronze,Zvonko Sabolović,Athletics,400 m
Bronze,Zdravko Ceraj,Athletics,1500 m
Bronze,Stevan Pavlović,Athletics,5000 m
Bronze,Mihajlo Dimitrijević,Athletics,High Jump
Bronze,Igor Zupančič,Athletics,400 m hurdles
Bronze,Marko Račič Zvonko Sabolović Boris Brnad Petar Pecelj,Athletics,Men 's 4x100 m
Bronze,Rudolf Galin,Athletics,Hammer throw
