Program,Subscription network,Free-to-air network,Date
/ Dumb Bunnies,Nickelodeon,Seven Network,2 January
An Actor 's Life For Me,UKTV,ABC TV,10 April
Angel,Fox8,Seven Network,24 April
Full Wax,UKTV,ABC TV,1 June
"Brittas Empire , The The Brittas Empire",UKTV,ABC TV,6 June
Friends,Oh !,Nine Network,3 July
"Drew Carey Show , The The Drew Carey Show",Oh !,Nine Network,July
ER,Oh !,Nine Network,August
Thomas the Tank Engine and Friends,Nickelodeon,ABC TV,2001
Insektors,Fox Kids,ABC TV,2001
Budgie the Little Helicopter,Fox Kids,ABC TV,2001
Freaky Stories,Nickelodeon,ABC TV,2001
Oscar and Friends,Nickelodeon,ABC TV,2001
What About Mimi ?,Fox Kids,Seven Network,2001
Cubeez,Fox Kids,ABC TV,2001
/ / Weird-Oh 's,Fox Kids,Seven Network,2001
