Country,No . of riders,Finishers,Stage wins
Italy,53,32 ( 60.38% ),"7 ( Filippo Pozzato , Manuel Belletti , Vincenzo Nibali , Ivan Basso , Stefano Garzelli , Michele Scarponi + Liquigas-Doimo )"
France,20,12 ( 60.00% ),"2 ( Jérôme Pineau , Damien Monier )"
Australia,15,10 ( 66.67% ),"3 ( Matthew Lloyd , Cadel Evans , Matthew Goss )"
Spain,12,11 ( 91.67% ),0
Germany,11,5 ( 45.45% ),1 ˙ ( André Greipel )
Switzerland,9,7 ( 77.78% ),1 ( Johann Tschopp )
Netherlands,8,8 ( 100.00% ),0
Great Britain,7,4 ( 57.14% ),1 ( Bradley Wiggins )
Russia,7,6 ( 85.71% ),1 ( Evgeni Petrov )
United States,7,3 ( 42.86% ),2 ( Tyler Farrar x2 )
Belgium,5,4 ( 80.00% ),1 ( Wouter Weylandt )
Colombia,5,5 ( 100.00% ),0
Denmark,5,4 ( 80.00% ),1 ( Chris Anker Sørensen )
Kazakhstan,4,2 ( 50.00% ),0
Austria,3,2 ( 66.67% ),0
Ukraine,3,3 ( 100.00% ),0
Belarus,2,2 ( 100.00% ),0
Croatia,2,2 ( 100.00% ),0
Estonia,2,1 ( 50.00% ),0
New Zealand,2,1 ( 50.00% ),0
