Rank,Player,From,Year
1,Saeid Ghadami,Foolad,2011
2,Éamon Zayed,Derry City,2011
3,Mehdi Mahdavikia,Damash Gilan,2012
4,Hossein Hooshyar,Shahrdari Yasuj,2012
5,Hossein Kanaani,Youth System,2012
6,Mehrdad Pooladi,Mes Kerman,2012
7,Asmir Avdukić,Borac Banja Luka,2012
8,Mohammad Ghazi,Zob Ahan,2012
9,Shahab Gordan,Zob Ahan,2012
10,Hossein Mahini,Zob Ahan,2012
11,Jalal Hosseini,Sepahan,2012
12,Mohsen Bengar,Sepahan,2012
13,Mohammad Reza Khanzadeh,Rah Ahan,2012
14,Afshin Esmaeilzadeh,Damash,2012
15,Karim Ansarifard,Saipa,2012
16,Roberto Sousa,Marítimo,2012
17,Amir Abedzadeh,LA Blues,2012
18,Mehrzad Madanchi,Al-Shaab,2012
19,Nilson Corrêa,Guimarães,2012
20,Reza Haghighi,Fajr Sepasi,2013
