Wind farm,Installed capacity ( MW ),Owner,Turbine Make,State
Ararat Wind Farm,242.5,"RES Australia , Partners Group , OPTrust",GE,Victoria
Bald Hills Wind Farm,107,Mitsui,Senvion,Victoria
Boco Rock Wind Farm,113,CWP Renewables,GE,New South Wales
Bodangora Wind Farm,113,Infigen Energy,GE,New South Wales
Canunda Wind Farm,46,Engie and Mitsui,Vestas,South Australia
Capital Wind Farm,140,Infigen Energy,Suzlon,New South Wales
Cathedral Rocks Wind Farm,66,EnergyAustralia and Acciona,Vestas,South Australia
Challicum Hills Wind Farm,52.5,Pacific Hydro,NEG,Victoria
Clements Gap Wind Farm,57,Pacific Hydro,Suzlon,South Australia
Collgar Wind Farm,206,UBS Global Asset Management,Vestas,Western Australia
Crowlands Wind Farm,80,Pacific Hydro,Senvion,Victoria
Emu Downs Wind Farm,80,APA Group,Vestas,Western Australia
Gullen Range Wind Farm,165.5,Goldwind Australia /JNCEC,Goldwind,New South Wales
Hallett Group,351,AGL Energy,Suzlon,South Australia
Hornsdale Wind Farm,315,Neoen and Megawatt Capital,Siemens,South Australia
Lake Bonney Group,278,Infigen Energy,Vestas,South Australia
Lincoln Gap Wind Farm,212,Nexif Energy Australia,Senvion,South Australia
Macarthur Wind Farm,420,AGL Energy,Vestas,Victoria
Mortons Lane Wind Farm,19.5,CGN Wind Energy,Goldwind,Victoria
Mount Emerald Wind Farm,180.5,RATCH-Australia,Vestas,Queensland
