School,Nickname,Location,Year joined,Previous Conference
Arcadia,Redskins,Arcadia,1922,none
Arlington,Red Devils,Arlington,1922,none
Cory-Rawson,Hornets,Rawson,1950,none ( new school )
Leipsic,Vikings,Leipsic,1965 ( fb ) 1971 ( all ),"Putnam County , Northwest Conference"
Liberty-Benton,Eagles,Benton Ridge,1922,none
McComb,Panthers,McComb,1922,none
North Baltimore,Tigers,North Baltimore,2014,Midland
Pandora-Gilboa,Rockets,Pandora,1966 ( fb ) 1971 ( all ),"Putnam County ( Present/non-football ) , Northwest Conference** , Northern Ohio League***"
Riverdale,Falcons,Mt . Blanchard,2014,North Central
Van Buren,Black Knights,Van Buren,1922,none
Vanlue,Wildcats,Vanlue,1922,none
