Year,Round,Pick,Name,Nationality,College/HS/Club
1977,1,9,Tom LaGarde,United States,North Carolina
1977,1,21,Anthony Roberts,United States,Oral Roberts
1977,3,65,Robert Smith,United States,UNLV
1977,5,109,John Billups,United States,Ole Miss
1977,6,130,Jim Town,United States,Massachusetts
1977,7,148,Willie High,United States,Alabama State
1977,8,169,Len Saunders,United States,Florida
1978,1,17,Rod Griffin,United States,Wake Forest
1978,1,21,Mike Evans,United States,Kansas State
1978,3,46,Hollis Copeland,United States,Rutgers
1978,5,106,Mike Edwards,United States,Texas-Pan American
1978,6,127,Robert Heard,United States,Columbus ( GA )
1978,7,148,Jack Gilloon,United States,South Carolina
1978,8,166,Larry Vaculik,United States,Colorado
1978,9,183,Tom Schneeberger,United States,Air Force
1978,10,198,Phil Taylor,United States,Arizona
1979,2,30,Gary Garland,United States,DePaul
1979,5,102,Larry Williams,United States,Louisville
1979,6,122,Odell Ball,United States,Marquette
1979,7,144,John Johnson,United States,Creighton
