Season,Winners,Score,Runners-up,Venue,Attendance
1999-2000,Galatasaray,5-3 ( a.e.t . ),Antalyaspor,Diyarbakır Atatürk Stadı,"14,000"
2000-01,Gençlerbirliği,2-2 ( 4-1 ( p ),Fenerbahçe,Kayseri Atatürk Stadı,"18,000"
2001-02,Kocaelispor,4-0,Beşiktaş,Bursa Atatürk Stadı,"18,000"
2002-03,Trabzonspor,3-1,Gençlerbirliği,Antalya Atatürk Stadı,"10,000"
2003-04,Trabzonspor,4-0,Gençlerbirliği,Atatürk Olimpiyat Stadı,"40,000"
2004-05,Galatasaray,5-1,Fenerbahçe,Atatürk Olimpiyat Stadı,"17,061"
2005-06,Beşiktaş,3-2 ( a.e.t . ),Fenerbahçe,İzmir Atatürk Stadı,"50,000"
2006-07,Beşiktaş,1-0 ( a.e.t . ),Kayseri Erciyesspor,İzmir Atatürk Stadı,"40,000"
2007-08,Kayserispor,0-0 ( 11-10 ( p ),Gençlerbirliği,Bursa Atatürk Stadı,"17,000"
2008-09,Beşiktaş,4-2,Fenerbahçe,İzmir Atatürk Stadı,"50,000"
2009-10,Trabzonspor,3-1,Fenerbahçe,Şanlıurfa GAP Stadı,"28,000"
2010-11,Beşiktaş,2-2 ( 4-3 ( p ),İstanbul Başakşehir,Kadir Has Stadı,"28,000"
2011-12,Fenerbahçe,4-0,Bursaspor,Ankara 19 Mayıs Stadı,"19,500"
2012-13,Fenerbahçe,1-0,Trabzonspor,Ankara 19 Mayıs Stadı,"18,250"
2013-14,Galatasaray,1-0,Eskişehirspor,Konya Atatürk Stadı,"22,456"
2014-15,Galatasaray,3-2,Bursaspor,Bursa Atatürk Stadı,"24,500"
2015-16,Galatasaray,1-0,Fenerbahçe,Antalya Stadı,"32,000"
2016-17,Konyaspor,0-0 ( 4-1 ( p ),İstanbul Başakşehir,Eskişehir Stadı,"30,000"
2017-18,Akhisar Belediyespor,3-2,Fenerbahçe,Diyarbakır Stadı,"20,000"
2018-19,Galatasaray,3-1,Akhisar Belediyespor,Yeni 4 Eylül Stadı,"22,000"
