Club,City,Stadium,Capacity,2015-16 season
Abano,Abano Terme,Delle Terme,"1,000",9th in Serie D Girone C
Altovicentino,Valdagno & Marano Vicentino,Dei Fiori,"6,000",2nd in Serie D Girone D
Belluno,Belluno,Polisportivo,"2,585",4th in Serie D Girone C
Calvi Noale,Noale,Azzurri d'Italia 2006,,12th in Serie D Girone C
Campodarsego,Campodarsego,Aldo e Dino Ballarin,"3,622",2nd in Serie D Girone C
Cordenons,Cordenons,Comunale Assi,,1st in Eccellenza Friuli
Este,"Este , Veneto",Nuovo,,3rd in Serie D Girone C
Legnago,Legnago,Mario Sandrini,"2,152",2nd in Serie D Girone D
Mestre,Mestre,Comunale di Mogliano Veneto,,8th in Serie D Girone C
Montebelluna,Montebelluna,San Vigilio,"2,000",15th in Serie D Girone C
Pievigina,Pieve di Soligo,Comunale,"1,500",1st in Eccellenza Veneto Girone B
Tamai,Brugnera,Comunale,"1,000",7th in Serie D Girone C
Triestina,Trieste,Nereo Rocco,"32,454",16th in Serie D Girone C
Union Arzignano Chiampo,Arzignano & Chiampo,Tommaso Dal Molin,"2,000",11th in Serie D Girone D
Union Feltre,Feltre,Libero Zugni Tauro,,13th in Serie D Girone C
Vigasio,Vigasio,Comunale Ugo Capone,,2nd in Eccellenza Veneto Girone A
Vigontina San Paolo,Vigonza,Comunale,,6th in Serie D Girone C
Virtus Verona,Verona,M.Gavagnin - S.Nocini,"1,200",5th in Serie D Girone C
