Name,Nationality,Weight ( lb ),Division,Style,Years active
Julia Berezikova,Russia,57 kilograms ( 126 lb ),Featherweight,Boxing,2003 -
Jemyma Betrian,Netherlands,52 kilograms ( 115 lb ),Flyweight,Boxing,2005 -
Taoriba Biniati,Kiribati,57 kilograms ( 126 lb ),Lightweight,Boxing,2014 -
Arlene Blencowe,Australia,66 kilograms ( 146 lb ),Featherweight,Boxing,2012 -
Yesica Bopp,Argentina,,Light flyweight,Boxing,2008 -
Cecilia Braekhus,Norway,64 kilograms ( 141 lb ),Welterweight,Boxing,2007 -
Cathy Brown,UK,61 kilograms ( 134 lb ),Flyweight,Boxing,1999 - 2006
Leona Brown,USA,55 kilograms ( 121 lb ),Bantamweight,Boxing,1997 - 2006
Lisa Brown,TTO,,Super Bantamweight,Boxing,1997 - 2013
Brenda Burnside,USA,55 kilograms ( 121 lb ),Super Flyweight,Boxing,1997 - 2000
Barbara Buttrick,UK,50 kilograms ( 110 lb ),Flyweight,Boxing,1948 - 1960
Tracy Byrd,USA,61 kilograms ( 134 lb ),Lightweight,Boxing,1996 - 2006
