Release date,Title,Director
"August 23 , 1933",Dinner at Eight,George Cukor
"October 5 , 1933",Night Flight,Clarence Brown
"October 27 , 1933",Meet the Baron,Walter Lang
"December 2 , 1933",Dancing Lady,Robert Z. Leonard
"April 10 , 1934",Viva Villa !,Jack Conway
"May 4 , 1934",Manhattan Melodrama,W. S. Van Dyke
"January 18 , 1935",David Copperfield,George Cukor
"March 22 , 1935",Vanessa : Her Love Story,William K. Howard
"April 18 , 1935",Reckless,Victor Fleming
"August 30 , 1935",Anna Karenina,Clarence Brown
"December 25 , 1935",A Tale of Two Cities,Jack Conway
