Pos,Player,New Club,Fee/Notes,Date
GK,Jimmy Nielsen,Oklahoma City Energy FC Coach,Retired from playing,"December 9 , 2013"
DF,Kyle Miller,Oklahoma City Energy FC,Waived,"December 12 , 2013"
DF,Brendan Ruiz,,Waived,"December 12 , 2013"
DF,Federico Bessone,Millwall,Released ( Out of contract ),"January 2 , 2014"
FW,Teal Bunbury,New England Revolution,Trade for first round 2015 MLS SuperDraft pick and allocation money,"February 19 , 2013"
DF,Josh Gardner,,Waived,"March 25 , 2014"
DF,Mechack Jerome,Montreal Impact,Waived,"March 31 , 2014"
MF,Oriol Rosell,Sporting Clube de Portugal,Fee,"June 3 , 2014"
MF,Alex Martinez,Orange County Blues FC,Waived,"June 30 , 2014"
MF,Peterson Joseph,,Mutually Terminated,"August 11 , 2014"
GK,Tim Melia,Sporting Kansas City,League Pool Call-up Ended,"September 3 , 2014"
