Season,Champions,Runners up,Third place,Top scorer ( s ),Goals
1992-93,Partizan,Crvena Zvezda,Vojvodina,Anto Drobnjak ( Crvena Zvezda ) Vesko Mihajlović ( Vojvodina ),22
1993-94,Partizan,Crvena Zvezda,Vojvodina,Savo Milošević ( Partizan ),21
1994-95,Crvena Zvezda,Partizan,Vojvodina,Savo Milošević ( Partizan ),30
1995-96,Partizan,Crvena Zvezda,Vojvodina,Vojislav Budimirović ( Čukarički ),23
1996-97,Partizan,Crvena Zvezda,Vojvodina,Zoran Jovičić ( Crvena Zvezda ),21
1997-98,Obilić,Crvena Zvezda,Partizan,Saša Marković ( FK Železnik / Crvena Zvezda ),27
1998-99,Partizan,Obilić,Crvena Zvezda,Dejan Osmanović ( Hajduk Kula ),16
1999-2000,Crvena Zvezda,Partizan,Obilić,Mateja Kežman ( Partizan ),27
2000-01,Crvena Zvezda,Partizan,Obilić,Petar Divić ( OFK Beograd ),27
2001-02,Partizan,Crvena Zvezda,Sartid,Zoran Đurašković ( Mladost Lučani ),27
2002-03,Partizan,Crvena Zvezda,OFK Beograd,Zvonimir Vukić ( Partizan ),22
2003-04,Crvena Zvezda,Partizan,Železnik,Nikola Žigić ( Crvena Zvezda ),19
2004-05,Partizan,Crvena Zvezda,Zeta,Marko Pantelić ( Crvena Zvezda ),21
2005-06,Crvena Zvezda,Partizan,Voždovac,Srđan Radonjić ( Partizan ),20
